DATE;TIME;Sensor1;Sensor2;Sensor3;Sensor4
2024-07-03;14:49:00;24,752;24,775;24,988;24,584
2024-07-03;14:54:00;24,868;24,844;25,018;24,581
2024-07-03;14:59:00;25,039;25,012;25,083;24,728
2024-07-03;15:04:00;25,129;25,026;25,124;24,733
2024-07-03;15:09:00;25,123;24,834;25,144;24,558
2024-07-03;15:14:00;25,085;24,743;25,132;24,397
2024-07-03;15:19:00;25,053;24,797;25,142;24,37
2024-07-03;15:24:00;25,193;24,838;25,25;24,377
2024-07-03;15:29:00;25,313;24,937;25,343;24,491
2024-07-03;15:34:00;25,343;25,156;25,421;24,616
2024-07-03;15:39:00;25,468;25,384;25,5;24,918
2024-07-03;15:44:00;25,526;25,381;25,5;25
2024-07-03;15:49:00;25,443;25,232;25,504;24,887
2024-07-03;15:54:00;25,529;25,438;25,56;24,956
2024-07-03;15:59:00;25,653;25,575;25,62;25,18
2024-07-03;16:04:00;25,534;25,355;25,62;25,054
2024-07-03;16:09:00;25,731;25,62;25,704;25,19
2024-07-03;16:14:00;25,741;25,592;25,75;25,326
2024-07-03;16:19:00;25,828;25,705;25,835;25,351
2024-07-03;16:24:00;25,734;25,643;25,858;25,376
2024-07-03;16:29:00;25,796;25,713;25,849;25,5
2024-07-03;16:34:00;25,892;25,801;25,87;25,513
2024-07-03;16:39:00;25,901;25,798;25,943;25,551
2024-07-03;16:44:00;25,882;25,797;25,97;25,588
2024-07-03;16:49:00;26,005;25,899;26,004;25,609
2024-07-03;16:54:00;26,085;25,964;26,113;25,649
2024-07-03;16:59:00;26,152;26,052;26,12;25,75
2024-07-03;17:04:00;26,171;26,068;26,127;25,808
2024-07-03;17:09:00;26,1;26;26,116;25,756
2024-07-03;17:14:00;26,287;26,187;26,223;25,87
2024-07-03;17:19:00;26,284;26,164;26,301;25,884
2024-07-03;17:24:00;26,24;26,154;26,332;25,931
2024-07-03;17:29:00;26,303;26,207;26,37;26
2024-07-03;17:34:00;26,358;26,418;26,389;26,019
2024-07-03;17:39:00;26,384;26,383;26,466;26,033
2024-07-03;17:44:00;26,329;26,248;26,465;26,001
2024-07-03;17:49:00;26,387;26,268;26,494;26
2024-07-03;17:54:00;26,393;26,292;26,5;26,046
2024-07-03;17:59:00;26,436;26,336;26,502;26,115
